
Book: The Reading List,The Reading List
"Adams, Sara Nisha",
An unforgettable and heartwarming debut about how a chance encounter with a list of library books helps forge an unlikely friendship between two very different people in a London suburb.,
Book: Murder Most Fowl,Murder Most Fowl – (Book 49 in the Meg Langslow series)
"Andrews, Donna",
A Shakespearian twist leads to Meg trying to catch a killer.,
Book: Coming Soon,Money Devils 2 – (Book 9 in the Cartel series)
Ashley & JaQuavis,
The LaCroix sisters return in this exciting new installment.,
Book: All's Well,All's Well
"Awad, Mona",
"A darkly funny novel about a theater professor suffering chronic pain, who in the process of staging a troubled production of Shakespeare's most maligned play, suddenly and miraculously recovers.",
Book: The Women of Troy,The Women of Troy
"Barker, Pat",
"Following her bestselling, critically acclaimed The Silence of the Girls, Pat Barker continues her extraordinary retelling of one of our greatest myths.",
Book: Rabbit Hole,Rabbit Hole
"Billingham, Mark",
"Alice is a long term patient in a psychiatric ward. She believes she was once a cop, or was she? When a fellow patient is murdered she is convinced she can find the killer - but can she?",
Book: Coming Soon,Lost and Found Faith
"Blount, Laurel",
"A terrible tragedy nearly broke him, can love put him back together?",
Book: Neptune,Neptune – (Book 2 in the Outer Planets series)
"Bova, Ben",
"Ilonga Magyr knows she will find her father alive on Neptune, but when her team find wreckage of an alien ship her plans are irrevocably altered.",
Book: The Last Mrs. Summers,The Last Mrs. Summers – (Book 14 in the Royal Spyness series)
"Bowen, Rhys",
"Lady Georgiana is back from her honeymoon when a friend in need pulls her into a twisted tale of betrayal, deception, and murder.",
Book: The Desert Prince,The Desert Prince
"Brett, Peter V.",
The first novel in an all-new fantasy saga from the New York Times bestselling author of The Demon Cycle.,
Book: Blind Tiger,Blind Tiger
"Brown, Sandra",
A new page-turning historical thriller set in Prohibition-era Texas.,
Book: The Walnut Creek Wish,The Walnut Creek Wish – (Book 1 in the Creekside Discoveries series)
"Brunstetter, Wanda E.",
"Welcome to Walnut Creek, Ohio, where an antique store becomes a place of healing for broken hearts.",
Book: Find Me,Find Me
"Burke, Alafair",
The disappearance of a young woman leaves her closest friend reeling and an NYPD homicide detective digging into her own past.,
Book: Another Kind of Eden,Another Kind of Eden – (Book 4 in the Holland Family series)
"Burke, James Lee",
"A captivating tale of justice, love, brutality, and mysticism set in the turbulent  1960s.",
Book: Feral Creatures,Feral Creatures
"Buxton, Kira Jane",
"The animal kingdom's ""favorite apocalyptic hero"" is back with a renewed sense of hope for humanity, ready to take on a world ravaged by a viral pandemic.",
Book: The Chocolate Raccoon Rigmarole,The Chocolate Raccoon Rigmarole – (Book 18 in the Chocoholic Mystery series)
"Carl, JoAnna",
"A gang of crooks with a wicked sweet tooth wreaks havoc on Warner Pier, and it's up to Lee to route the hungry rascals.",
Book: The Great Mrs. Elias,The Great Mrs. Elias
"Chase-Riboud, Barbara",
"Packed with glamour, suspense, and drama, populated with real life luminaries from the period, The Great Mrs. Elias brings a woman and the age she embodied to glorious, tragic life.",
Book: The Island,The Island – (Book 9 in the Dewey Andreas series)
"Coes, Ben",
"CIA operative Dewey Andreas is America's last line of defense when terrorists take over Manhattan, targeting U.N. and the President himself.",
Book: The Secret Staircase,The Secret Staircase – (Book 3 in the Victorian Village Mystery series)
"Connolly, Sheila",
"Katherine Hamilton discovers a long-dead body on a hidden staircase, but then a second body is found.",
Book: Viral,Viral
"Cook, Robin",
A family's exposure to a rare yet deadly virus puts them at the center of a terrifying new danger to mankind - and pulls back the curtain on a healthcare system powered by greed and corruption.,
Book: Vortex,Vortex – (Book 25 in the FBI Thriller series)
"Coulter, Catherine",
Agents Sherlock and Savich find themselves dealing with powerful pieces of the past that could have dire consequences in the present.,
Book: Whiplash,Whiplash – (Book 2 in the Champions series)
"Dailey, Janet",
"On the Alamo Canyon Ranch, three sisters run a bull rearing operation. Women who aren't afraid to compete against men, or take on something as wild as love and win.",
Book: Damnation Spring,Damnation Spring
"Davidson, Ash",
A deeply human story of a Pacific Northwest logging town wrenched in two by a mystery that threatens to derail its way of life.,
Book: Crossed Lines,Crossed Lines – (Book 2 in the Love Along the Wires series)
"Delamere, Jennifer",
"When Mitchell's best friend asks him to help him write letters to Emma, he is torn between desire and loyalty because he already loves her.",
Book: Yours is the Night,Yours is the Night
"Dykes, Amanda",
"When Matthew discovers Mireilles, three things are clear: She is alone in the world; she cannot stay; and he and his two unlikely companions might be the only ones who can get her to safety.",
Book: Hostile Intent,Hostile Intent – (Book 4 in the Danger Never Sleeps series)
"Eason, Lynette",
"Does Ava hold the key to the murders of three families, and can she help FBI Agent Caden Denning before anyone else is harmed?",
Book: The Merchant and the Rogue,The Merchant and the Rogue – (Book 2 in the Proper Romance Western series)
"Eden, Sarah M.",
"Brogan and Vera must work together, but that means they'll need to learn to trust each other with dangerous secrets.",
Book: The King of Infinite,The King of Infinite Space
"Faye, Lyndsay",
"A lush, magical, queer, and feminist take on Hamlet in modern-day New York City.",
Book:Mrs. March,Mrs. March
"Feito, Virginia",
"A twenty-first century Highsmith, Virginia Feito conjures the unforgettable Mrs. March, an Upper East Side housewife whose life is shattered by her husband's latest novel.",
Book: Cul-De-Sac,Cul-De-Sac
"Fielding, Joy",
A shooting lays bare the secrets harbored by five families in a sleepy suburban cul-de-sac.,
Book: Stronger Than you Know,Stronger Than You Know – (Book 2 in the McKenzies of Ridge Trail series)
"Foster, Lori",
"Kennedy knows Reyes is more than a gym owner, but will she keep him at arms length to protect herself or give in to their instant attraction.",
Book: The Bookseller's Secret,The Bookseller's Secret
"Gable, Michelle",
"Aristocrat, author, bookseller, and spy - a thrilling novel about the iconic Nancy Mitford during WWII.",
Book: Love andn the Silver Lining,Love and the Silver Lining – (a book in the State of Grace series)
"Gray, Tammy L.",
"While training a group of dogs, it is Darcy who will encounter a surprise rescue in the form of unexpected love, forgiveness, and the power of letting go.",
Book: Murder Always Barks Twice,Murder Always Barks Twice – (Book 2 in the Chatty Corgi Mystery series)
"Hawkins, Jennifer",
A charming tea room owner and her excitable talking corgi will need to work together to bring a killer to heel.,
Book: A Slow Firing Burning,A Slow Fire Burning
"Hawkins, Paula",
"Look what you started. When a young man is found gruesomely murdered in a London houseboat, it triggers questions about three women in particular.",
Book: paper & Blood,Paper & Blood – (Book 2 in the Ink & Sigil series)
"Hearne, Kevin",
"Packed to the brim with mystery, magic, and mayhem, it follows Al MacBharrais and eccentric master of magic as he solves uncanny mysteries in Scotland.",
Book: The Guide,The Guide
"Heller, Peter",
"A young man who, escaping his own grief, is hired by an elite fishing lodge in Colorado where amid the natural beauty of sun-drenched streams and forests he uncovers a plot of shocking menace.",
Book: The Heart Principle,The Heart Principle – (Book 3 in the Kiss Quotient series)
"Hoang, Helen",
A witty and sizzling new romance that shows how wrong you can be about someone...and how right they can be for you.,
Book: What the Cat Dragged In,What the Cat Dragged In – (Book 14 in the Cat in the Stacks Mystery series)
"James, Miranda",
"Librarian Charlie Harris and his cat, Diesel, have inherited Charlie's grandfather's house along with a decades-old crime scene.",
Book: Beyond he Tides,Beyond the Tides – (Book 1 in the Prince Edward Island Shores series)
"Johnson, Liz",
Meg's father forces her to work with her high school nemesis to see who he will leave the family business to.,
Book: The Barrister and the Letter of Marque,The Barrister and the Letter of Marque
"Johnson, Todd M.",
"William Snopes is an advocate who chooses to defend the poorer classes against the rich. That changes the day a struggling heiress, Lady Madeleine Jameson, arrives at his door.",
Book: The Guilt Trip,The Guilt Trip
"Jones, Sandie",
"Six friends, three couples, one fatal misunderstanding. Secrets spill and friendships unravel and jumping to conclusions becomes the difference between life and death at a weekend wedding.",
Book: My Heart is a Chainsaw,My Heart is a Chainsaw
"Jones, Stephen Graham",
While writing a paper on the unifying theory of slasher films Jade finds her town experiencing its own final showdown.,
Book: King Bullet,King Bullet – (Book 12 in the Sandman Slim series)
"Kadrey, Richard",
"The incredible finale of the page-turning, high-octane Sandman Slim series filled with an explosive ending and intense action.",
Book: Billy Summers,Billy Summers
"King, Stephen",
"Billy Summers, killer for hire and the best in the business, is ready to put down his gun and walk away, but there is one last hit - and what could possibly go wrong?",
Book: Citadel,Citadel – (Book 3 in the Palladium Wars series)
"Kloos, Marko",
An interplanetary battle is renewed in an epic novel of a warring solar system.,
Book: Lightning Strike,Lightning Strike – (Book 18 in the Cork O'Connor series)
"Krueger, William Kent",
"A powerful prequel, a book about fathers, sons, long-simmering tensions in a small town, and young Cork's coming of age in the summer of 1963.",
Book: A Familiar Sight,A Familiar Sight
"Labuskes, Brianna",
Dr. Gretchen White is a specialist and an admitted sociopath suspected of killing her own aunt. When called into a case similar to her own she sees something familiar in the accused girl.,
Book: Provenance,Provenance
"Laureano, Carla",
"In order to save this town, Gabe must help Kendall unravel the truth of her own provenance and Kendall must learn that in order to embrace the future, sometimes you have to start with the past.",
Book: The Riviera House,The Riviera House
"Lester, Natasha",
